City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,thohoyandou,-22.9456,30.485,10.73,69,100,1.8,ZA,1698722085
317,fale old settlement,-9.3852,-171.2468,28.2,79,100,7.0,TK,1698721488
318,lerwick,60.1545,-1.1494,7.0,57,28,8.77,GB,1698721495
319,renfrew,55.872,-4.3925,6.38,81,100,4.12,GB,1698721867
320,rawah,34.4816,41.9093,23.13,36,100,1.56,IQ,1698722085
321,al ghayzah,16.2079,52.176,25.76,71,90,2.31,YE,1698722085
322,aral,40.5156,81.2636,15.9,22,100,0.87,CN,1698721518
323,taza,34.25,-3.75,15.95,89,100,2.09,MA,1698722085
324,selfoss,63.9331,-20.9971,-0.53,79,42,3.81,IS,1698722085
325,crane,31.3974,-102.3501,4.75,48,1,1.98,US,1698721537
326,viedma,-40.8135,-62.9967,5.57,76,0,3.86,AR,1698721244
327,alice springs,-23.7,133.8833,29.75,13,3,6.69,AU,1698721813
328,champerico,14.3,-91.9167,26.76,81,100,0.23,GT,1698721495
329,bac lieu,9.285,105.7244,30.22,70,97,7.57,VN,1698722086
330,chacabuco,-34.6417,-60.4739,11.57,36,60,3.06,AR,1698722086
331,mwingi,-0.9344,38.0601,18.71,93,85,2.37,KE,1698722086
332,shchyolkino,45.4291,35.8223,17.53,86,1,2.2,UA,1698722086
333,deniliquin,-35.5333,144.9667,21.0,17,2,5.11,AU,1698722086
334,vershino-darasunskiy,52.35,115.5167,-5.24,63,100,2.63,RU,1698722086
335,ghanzi,-21.5667,21.7833,18.09,83,6,6.29,BW,1698722086
336,nelson bay,-32.7167,152.15,26.03,49,99,8.49,AU,1698722054
337,pizarro,4.9533,-77.366,25.24,89,100,0.7,CO,1698722087
338,terrell,32.736,-96.2753,8.28,61,0,4.12,US,1698722087
339,fendou,46.65,124.8667,7.21,38,61,3.4,CN,1698722087
340,pangody,65.85,74.4859,-14.15,94,26,2.99,RU,1698721471
341,khandyga,62.6667,135.6,-9.02,93,100,2.09,RU,1698721553
342,port blair,11.6667,92.75,29.02,79,40,3.6,IN,1698721497
343,mbandaka,0.0487,18.2603,22.54,96,100,0.92,CD,1698722087
344,naze,28.3667,129.4833,24.51,65,84,5.22,JP,1698721531
345,waddan,29.1614,16.139,20.25,50,63,3.32,LY,1698722087
346,lethem,3.3803,-59.7968,29.6,50,98,2.98,GY,1698722087
347,bhattiprolu,16.1,80.7833,28.31,80,21,1.79,IN,1698722088
348,usol'ye-sibirskoye,52.7519,103.6453,-1.66,55,100,1.29,RU,1698722088
349,hatillo,18.4863,-66.8254,27.82,92,100,0.45,PR,1698722088
350,mbeya,-8.9,33.45,16.45,81,95,3.72,TZ,1698722088
351,igarka,67.4667,86.5833,-17.1,96,99,1.67,RU,1698721437
352,lazaro cardenas,17.9583,-102.2,26.38,88,13,1.68,MX,1698721493
